V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp
-87.966047,0.003169,0.000072,6.393321,6.393379,145.265162,145.265145,1.355718,1.355994,0.000073,0.007371,0.696864,0.696864,0.696863,0.453553,0.696863,0.00019,0.511764,0.305868,0.001004,0.999551,0.867317,0.000511,0.999551,0.901283,0,1,0.968746,1,1,1,1,1,0.001454,0.000008,0.16598,0.139879,0.000194,0.996769,0,0
-87.979004,0.003172,0.000072,6.395636,6.395694,145.335801,145.335784,1.356135,1.356412,0.000073,0.007361,0.697314,0.697314,0.697313,0.454081,0.697312,0.000189,0.512196,0.306211,0.001003,0.999552,0.86728,0.000511,0.999552,0.901266,0,1,0.968675,1,1,1,1,1,0.001455,0.000008,0.165934,0.140111,0.000193,0.996765,0,0
-87.965966,0.00317,0.000072,6.393339,6.393397,145.26469,145.264674,1.355794,1.35607,0.000073,0.007371,0.696861,0.696861,0.69686,0.45355,0.69686,0.00019,0.511762,0.305865,0.001004,0.999551,0.867311,0.000511,0.999551,0.901277,0,1,0.96874,1,1,1,1,1,0.001454,0.000008,0.165987,0.139897,0.000194,0.996769,0,0
-87.965739,0.003177,0.000072,6.392363,6.39242,145.264245,145.264229,1.35649,1.356766,0.000073,0.007371,0.696854,0.696853,0.696853,0.453541,0.696852,0.00019,0.511753,0.305789,0.001004,0.999551,0.866997,0.000511,0.999551,0.90098,0,1,0.968508,1,1,1,1,1,0.001456,0.000008,0.166325,0.14067,0.000194,0.996769,0,0
-87.966012,0.003169,0.000072,6.393381,6.393439,145.264916,145.264899,1.355726,1.356002,0.000073,0.007371,0.696863,0.696863,0.696862,0.453552,0.696861,0.00019,0.511763,0.30587,0.001004,0.999551,0.867329,0.000511,0.999551,0.901294,0,1,0.968754,1,1,1,1,1,0.001454,0.000008,0.165967,0.13985,0.000194,0.996769,0,0
-87.965881,0.003176,0.000072,6.392278,6.392336,145.265121,145.265104,1.356383,1.356659,0.000073,0.007371,0.696858,0.696858,0.696858,0.453547,0.696857,0.00019,0.511757,0.305792,0.001004,0.999551,0.866991,0.000511,0.999551,0.900975,0,1,0.968506,1,1,1,1,1,0.001456,0.000008,0.16633,0.140677,0.000194,0.996769,0,0
-87.965708,0.003184,0.000072,6.391122,6.391179,145.265122,145.265106,1.357095,1.357372,0.000073,0.007371,0.696852,0.696852,0.696852,0.45354,0.696851,0.00019,0.51175,0.305708,0.001004,0.999551,0.866635,0.000511,0.999551,0.900638,0,1,0.968245,1,1,1,1,1,0.001458,0.000008,0.166713,0.141545,0.000194,0.996769,0,0
-87.965922,0.003171,0.000072,6.393252,6.39331,145.264516,145.264499,1.35588,1.356157,0.000073,0.007371,0.69686,0.69686,0.696859,0.453548,0.696858,0.00019,0.51176,0.305857,0.001004,0.999551,0.86728,0.000511,0.999551,0.901248,0,1,0.968717,1,1,1,1,1,0.001454,0.000008,0.16602,0.139974,0.000194,0.996769,0,0
-87.96588,0.003173,0.000072,6.392963,6.393021,145.264524,145.264508,1.356062,1.356339,0.000073,0.007371,0.696858,0.696858,0.696857,0.453547,0.696857,0.00019,0.511758,0.305835,0.001004,0.999551,0.86719,0.000511,0.999551,0.901162,0,1,0.968651,1,1,1,1,1,0.001455,0.000008,0.166117,0.140195,0.000194,0.996769,0,0
-87.965902,0.003174,0.000072,6.392669,6.392727,145.264903,145.264887,1.356178,1.356454,0.000073,0.007371,0.696859,0.696859,0.696858,0.453547,0.696858,0.00019,0.511759,0.305818,0.001004,0.999551,0.867107,0.000511,0.999551,0.901084,0,1,0.968591,1,1,1,1,1,0.001455,0.000008,0.166205,0.140394,0.000194,0.996769,0,0
