V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp,
-87.975142,0.018746,0.000071,6.880872,6.880935,144.994076,144.994054,1.568495,1.485943,0.000072,0.007364,0.697180,0.697177,0.697153,0.453913,0.697016,0.000189,0.436036,0.180325,0.001003,0.999552,0.390752,0.000511,0.999552,0.425351,0.000000,1.000000,0.799685,1.000000,0.997637,0.999562,1.000000,1.000000,0.001411,0.000110,0.629757,0.414093,0.000193,0.996766,0.000000,0.000000,0.019306
-87.975297,0.018414,0.000072,6.864393,6.864456,145.005389,145.005367,1.570476,1.490734,0.000073,0.007364,0.697185,0.697183,0.697161,0.453920,0.697044,0.000189,0.438983,0.182925,0.001003,0.999552,0.395899,0.000511,0.999552,0.431012,0.000000,1.000000,0.801575,1.000000,0.997722,0.999580,1.000000,1.000000,0.001426,0.000095,0.625256,0.414114,0.000193,0.996766,0.000000,0.000000,0.020757
-87.971457,0.017647,0.000072,6.893795,6.893859,144.972911,144.972888,1.577750,1.506100,0.000073,0.007367,0.697052,0.697050,0.697034,0.453766,0.696967,0.000189,0.448853,0.192198,0.001003,0.999552,0.414318,0.000511,0.999552,0.451290,0.000000,1.000000,0.808340,1.000000,0.998017,0.999647,1.000000,1.000000,0.001471,0.000056,0.609227,0.410154,0.000193,0.996767,0.000000,0.000000,0.021199
-87.970294,0.017360,0.000072,6.894519,6.894584,144.967684,144.967661,1.581446,1.512565,0.000074,0.007368,0.697012,0.697010,0.696995,0.453719,0.696941,0.000189,0.452274,0.195627,0.001003,0.999552,0.421183,0.000511,0.999552,0.458823,0.000000,1.000000,0.810962,1.000000,0.998118,0.999667,1.000000,1.000000,0.001492,0.000046,0.603182,0.409147,0.000193,0.996768,0.000000,0.000000,0.022334
-87.977237,0.018259,0.000071,6.855740,6.855802,145.022653,145.022631,1.562137,1.482677,0.000072,0.007362,0.697252,0.697250,0.697228,0.453999,0.697110,0.000189,0.438784,0.182730,0.001003,0.999552,0.395617,0.000511,0.999552,0.430686,0.000000,1.000000,0.803016,1.000000,0.997758,0.999590,1.000000,1.000000,0.001407,0.000095,0.625546,0.410988,0.000193,0.996766,0.000000,0.000000,0.018584
-87.972323,0.016879,0.000072,6.899237,6.899301,144.980864,144.980841,1.577103,1.511906,0.000074,0.007366,0.697082,0.697080,0.697067,0.453803,0.697024,0.000189,0.456094,0.199562,0.001003,0.999552,0.429196,0.000511,0.999552,0.467590,0.000000,1.000000,0.815557,1.000000,0.998271,0.999701,1.000000,1.000000,0.001496,0.000037,0.596227,0.403767,0.000193,0.996767,0.000000,0.000000,0.016816
-87.976595,0.018454,0.000071,6.869412,6.869474,145.008831,145.008808,1.562091,1.480648,0.000072,0.007363,0.697230,0.697227,0.697204,0.453972,0.697071,0.000189,0.436533,0.180747,0.001003,0.999552,0.391593,0.000511,0.999552,0.426277,0.000000,1.000000,0.800590,1.000000,0.997663,0.999568,1.000000,1.000000,0.001402,0.000107,0.629004,0.413034,0.000193,0.996766,0.000000,0.000000,0.018651
-87.974402,0.018234,0.000072,6.864537,6.864600,145.002660,145.002637,1.574436,1.497158,0.000073,0.007364,0.697154,0.697152,0.697132,0.453884,0.697034,0.000189,0.442164,0.185817,0.001003,0.999552,0.401665,0.000511,0.999552,0.437354,0.000000,1.000000,0.803894,1.000000,0.997824,0.999603,1.000000,1.000000,0.001442,0.000080,0.620259,0.412886,0.000193,0.996767,0.000000,0.000000,0.021296
-87.975393,0.018334,0.000072,6.869131,6.869194,145.003794,145.003772,1.568268,1.489004,0.000073,0.007364,0.697189,0.697186,0.697164,0.453924,0.697050,0.000189,0.439439,0.183332,0.001003,0.999552,0.396712,0.000511,0.999552,0.431912,0.000000,1.000000,0.802152,1.000000,0.997744,0.999586,1.000000,1.000000,0.001422,0.000092,0.624568,0.413056,0.000193,0.996766,0.000000,0.000000,0.019913
-87.971766,0.016920,0.000072,6.895263,6.895327,144.977138,144.977116,1.571294,1.504565,0.000073,0.007366,0.697063,0.697061,0.697047,0.453780,0.696997,0.000189,0.453821,0.197194,0.001003,0.999552,0.424391,0.000511,0.999552,0.462339,0.000000,1.000000,0.813384,1.000000,0.998193,0.999685,1.000000,1.000000,0.001477,0.000042,0.600415,0.405468,0.000193,0.996767,0.000000,0.000000,0.019774
